SITE NAME,SITECODE,SITE NUMBER,START DATE,MAT,MAP,DRYMONTHS
"San Javier, AR",ARG,17,37527,18.5,1300,4
"BCI, PN",BCI,10,37434,26,2640,4
"Biligiri, IN",BIL,15,,21,1438,5
"La Chonta, BOL",BOL,14,37634,23.6,1580,5
"Caetetas, BR",CAE,18,37901,21.4,1303,6
"Carlos Botelho, BR",CAR,19,37896,21.8,1580,4
Columbia,COL,4,,11,1500,0
Fort Clayton,FTC,11,37441,26.2,1870,5
"Fort Dauphin, MAD",FTD,22,,23.9,1500,3
"Fort Sherman, PN",FTS,9,37426,25.8,3020,4
Hawaii,HAW,2,37517,23,3600,0
HKKThailand,HKK,3,37921,23.5,1475,6
"Ilha do Cardoso, BR",IDC,20,37898,22.4,2261,2
Indian Wet Site,KAL,16,,20,3000,3
"La Selva, CR",LAS,6,37408,26,4000,0
"Nouragues, FG",NFG,12,37541,25.8,2960,2
"Palo Verde, CR",PAL,7,37427,27,1700,5
"Petriky, MAD",PET,21,,23.8,1100,10
"Madang, PNG",PNG,13,,26.5,3588,2
"Sirena, CR",SIR,8,37433,26,5797,2.6
"Santa Rosa, CR",STR,5,37421,25,1500,6
Barito Ulu,ULU,23,38555,,3835,0
"Yucatan, MX",YUC,1,37475,26,760,9
